language,market,campaign,ad_group,match_type,keyword,final_url
RO,Romania,Search RO Semifabricate Aluminiu,Carduri CR80,EXACT,blankuri cr80 personalizate,https://yushialumcraft.coze.site/ro/product-cr80-aluminum-cards.html
RO,Romania,Search RO Semifabricate Aluminiu,Carduri CR80,PHRASE,blankuri aluminiu sublimare,https://yushialumcraft.coze.site/ro/product-cr80-aluminum-cards.html
RO,Romania,Search RO Semifabricate Aluminiu,Carduri CR80,PHRASE,carduri aluminiu pentru sublimare,https://yushialumcraft.coze.site/ro/product-cr80-aluminum-cards.html
RO,Romania,Search RO Semifabricate Aluminiu,Forme Personalizate,PHRASE,forme aluminiu personalizate,https://yushialumcraft.coze.site/ro/product-custom-shape-blanks.html
RO,Romania,Search RO Semifabricate Aluminiu,Forme Personalizate,EXACT,forme aluminiu personalizate,https://yushialumcraft.coze.site/ro/product-custom-shape-blanks.html
RO,Romania,Search RO Semifabricate Aluminiu,Forme Personalizate,PHRASE,semifabricate aluminiu la comandă,https://yushialumcraft.coze.site/ro/product-custom-shape-blanks.html
RO,Romania,Search RO Semifabricate Aluminiu,Forme Personalizate,EXACT,blankuri aluminiu forme speciale,https://yushialumcraft.coze.site/ro/product-custom-shape-blanks.html
RO,Romania,Search RO Semifabricate Aluminiu,Forme Personalizate,PHRASE,aluminiu decupat după desen,https://yushialumcraft.coze.site/ro/product-custom-shape-blanks.html
RO,Romania,Search RO Semifabricate Aluminiu,Forme Personalizate,PHRASE,blankuri sublimare personalizate,https://yushialumcraft.coze.site/ro/product-custom-shape-blanks.html
RO,Romania,Search RO Semifabricate Aluminiu,Formate Mari,PHRASE,semifabricate aluminiu mari,https://yushialumcraft.coze.site/ro/product-oversized-aluminum-blanks.html
RO,Romania,Search RO Semifabricate Aluminiu,Formate Mari,EXACT,semifabricate aluminiu mari,https://yushialumcraft.coze.site/ro/product-oversized-aluminum-blanks.html
RO,Romania,Search RO Semifabricate Aluminiu,Formate Mari,PHRASE,blankuri aluminiu mari,https://yushialumcraft.coze.site/ro/product-oversized-aluminum-blanks.html
RO,Romania,Search RO Semifabricate Aluminiu,Formate Mari,EXACT,formate aluminiu supradimensionate,https://yushialumcraft.coze.site/ro/product-oversized-aluminum-blanks.html
RO,Romania,Search RO Semifabricate Aluminiu,Formate Mari,PHRASE,blankuri sublimare dimensiuni mari,https://yushialumcraft.coze.site/ro/product-oversized-aluminum-blanks.html
RO,Romania,Search RO Semifabricate Aluminiu,Formate Mari,PHRASE,aluminiu la dimensiuni personalizate,https://yushialumcraft.coze.site/ro/product-oversized-aluminum-blanks.html
RO,Romania,Search RO Semifabricate Aluminiu,Rotunde & Speciale,PHRASE,blankuri aluminiu rotunde,https://yushialumcraft.coze.site/ro/product-round-specialty-blanks.html
RO,Romania,Search RO Semifabricate Aluminiu,Rotunde & Speciale,EXACT,blankuri aluminiu rotunde,https://yushialumcraft.coze.site/ro/product-round-specialty-blanks.html
RO,Romania,Search RO Semifabricate Aluminiu,Rotunde & Speciale,PHRASE,semifabricate aluminiu rotunde,https://yushialumcraft.coze.site/ro/product-round-specialty-blanks.html
RO,Romania,Search RO Semifabricate Aluminiu,Rotunde & Speciale,EXACT,forme speciale aluminiu,https://yushialumcraft.coze.site/ro/product-round-specialty-blanks.html
RO,Romania,Search RO Semifabricate Aluminiu,Rotunde & Speciale,PHRASE,blankuri rotunde sublimare,https://yushialumcraft.coze.site/ro/product-round-specialty-blanks.html
RO,Romania,Search RO Semifabricate Aluminiu,Rotunde & Speciale,PHRASE,etichete din aluminiu personalizate,https://yushialumcraft.coze.site/ro/product-round-specialty-blanks.html
PL,Poland,Search PL Blanki Aluminiowe,Karty CR80,PHRASE,blanki aluminiowe cr80,https://yushialumcraft.coze.site/pl/product-cr80-aluminum-cards.html
PL,Poland,Search PL Blanki Aluminiowe,Karty CR80,EXACT,blanki aluminiowe cr80,https://yushialumcraft.coze.site/pl/product-cr80-aluminum-cards.html
PL,Poland,Search PL Blanki Aluminiowe,Karty CR80,PHRASE,karty aluminiowe cr80,https://yushialumcraft.coze.site/pl/product-cr80-aluminum-cards.html
PL,Poland,Search PL Blanki Aluminiowe,Karty CR80,EXACT,personalizowane blanki cr80,https://yushialumcraft.coze.site/pl/product-cr80-aluminum-cards.html
PL,Poland,Search PL Blanki Aluminiowe,Karty CR80,PHRASE,blanki do sublimacji cr80,https://yushialumcraft.coze.site/pl/product-cr80-aluminum-cards.html
PL,Poland,Search PL Blanki Aluminiowe,Karty CR80,PHRASE,aluminiowe karty do sublimacji,https://yushialumcraft.coze.site/pl/product-cr80-aluminum-cards.html
PL,Poland,Search PL Blanki Aluminiowe,Kształty na Wymiar,PHRASE,blanki aluminiowe na wymiar,https://yushialumcraft.coze.site/pl/product-custom-shape-blanks.html
PL,Poland,Search PL Blanki Aluminiowe,Kształty na Wymiar,EXACT,blanki aluminiowe na wymiar,https://yushialumcraft.coze.site/pl/product-custom-shape-blanks.html
PL,Poland,Search PL Blanki Aluminiowe,Kształty na Wymiar,PHRASE,aluminiowe kształty na zamówienie,https://yushialumcraft.coze.site/pl/product-custom-shape-blanks.html
PL,Poland,Search PL Blanki Aluminiowe,Kształty na Wymiar,EXACT,blanki o niestandardowym kształcie,https://yushialumcraft.coze.site/pl/product-custom-shape-blanks.html
PL,Poland,Search PL Blanki Aluminiowe,Kształty na Wymiar,PHRASE,aluminium wycinane według rysunku,https://yushialumcraft.coze.site/pl/product-custom-shape-blanks.html
PL,Poland,Search PL Blanki Aluminiowe,Kształty na Wymiar,PHRASE,personalizowane blanki do sublimacji,https://yushialumcraft.coze.site/pl/product-custom-shape-blanks.html
PL,Poland,Search PL Blanki Aluminiowe,Duże Formaty,PHRASE,duże blanki aluminiowe,https://yushialumcraft.coze.site/pl/product-oversized-aluminum-blanks.html
PL,Poland,Search PL Blanki Aluminiowe,Duże Formaty,EXACT,duże blanki aluminiowe,https://yushialumcraft.coze.site/pl/product-oversized-aluminum-blanks.html
PL,Poland,Search PL Blanki Aluminiowe,Duże Formaty,PHRASE,powiększone blanki aluminiowe,https://yushialumcraft.coze.site/pl/product-oversized-aluminum-blanks.html
PL,Poland,Search PL Blanki Aluminiowe,Duże Formaty,EXACT,blanki aluminiowe duży format,https://yushialumcraft.coze.site/pl/product-oversized-aluminum-blanks.html
PL,Poland,Search PL Blanki Aluminiowe,Duże Formaty,PHRASE,blanki do sublimacji duży format,https://yushialumcraft.coze.site/pl/product-oversized-aluminum-blanks.html
PL,Poland,Search PL Blanki Aluminiowe,Duże Formaty,PHRASE,aluminium na wymiar duży format,https://yushialumcraft.coze.site/pl/product-oversized-aluminum-blanks.html
PL,Poland,Search PL Blanki Aluminiowe,Okrągłe & Specjalne,PHRASE,okrągłe blanki aluminiowe,https://yushialumcraft.coze.site/pl/product-round-specialty-blanks.html
PL,Poland,Search PL Blanki Aluminiowe,Okrągłe & Specjalne,EXACT,okrągłe blanki aluminiowe,https://yushialumcraft.coze.site/pl/product-round-specialty-blanks.html
PL,Poland,Search PL Blanki Aluminiowe,Okrągłe & Specjalne,PHRASE,okrągłe blanki do sublimacji,https://yushialumcraft.coze.site/pl/product-round-specialty-blanks.html
PL,Poland,Search PL Blanki Aluminiowe,Okrągłe & Specjalne,EXACT,personalizowane okrągłe blanki,https://yushialumcraft.coze.site/pl/product-round-specialty-blanks.html
PL,Poland,Search PL Blanki Aluminiowe,Okrągłe & Specjalne,PHRASE,koła aluminiowe do sublimacji,https://yushialumcraft.coze.site/pl/product-round-specialty-blanks.html
PL,Poland,Search PL Blanki Aluminiowe,Okrągłe & Specjalne,PHRASE,specjalne kształty aluminiowe,https://yushialumcraft.coze.site/pl/product-round-specialty-blanks.html
