language,market,campaign,negative_scope,negative_match_type,negative_keyword,reason
"ALL","All proposed markets","Search RO Semifabricate Aluminiu","Campaign negative","EXACT","careers","Employment intent"
"ALL","All proposed markets","Search RO Semifabricate Aluminiu","Campaign negative","PHRASE","heat press machine","Equipment intent"
"ALL","All proposed markets","Search RO Semifabricate Aluminiu","Campaign negative","PHRASE","card printer","Equipment intent"
"ALL","All proposed markets","Search RO Semifabricate Aluminiu","Campaign negative","PHRASE","printing service","Finished-service intent"
"ALL","All proposed markets","Search RO Semifabricate Aluminiu","Campaign negative","EXACT","used","Second-hand intent"
"RO","Romania","Search RO Semifabricate Aluminiu","Campaign negative","PHRASE","descărcare gratuită","Digital asset intent"
"RO","Romania","Search RO Semifabricate Aluminiu","Campaign negative","EXACT","șablon","Design-file intent"
"RO","Romania","Search RO Semifabricate Aluminiu","Campaign negative","EXACT","machetă","Design-file intent"
"RO","Romania","Search RO Semifabricate Aluminiu","Campaign negative","PHRASE","cum se face","Educational intent"
"RO","Romania","Search RO Semifabricate Aluminiu","Campaign negative","EXACT","tutorial","Educational intent"
"RO","Romania","Search RO Semifabricate Aluminiu","Campaign negative","EXACT","locuri de muncă","Employment intent"
"RO","Romania","Search RO Semifabricate Aluminiu","Campaign negative","PHRASE","presă termică","Equipment intent"
"RO","Romania","Search RO Semifabricate Aluminiu","Campaign negative","PHRASE","imprimantă carduri","Equipment intent"
"RO","Romania","Search RO Semifabricate Aluminiu","Campaign negative","PHRASE","servicii de imprimare","Finished-service intent"
"RO","Romania","Search RO Semifabricate Aluminiu","Campaign negative","PHRASE","fier vechi","Scrap-material intent"
"RO","Romania","Search RO Semifabricate Aluminiu","Campaign negative","PHRASE","carduri din plastic","Wrong material"
"ALL","All proposed markets","Search PL Blanki Aluminiowe","Campaign negative","PHRASE","free download","Digital asset intent"
"ALL","All proposed markets","Search PL Blanki Aluminiowe","Campaign negative","PHRASE","template","Design-file intent"
"ALL","All proposed markets","Search PL Blanki Aluminiowe","Campaign negative","PHRASE","mockup","Design-file intent"
"ALL","All proposed markets","Search PL Blanki Aluminiowe","Campaign negative","EXACT","svg","File-format intent"
"ALL","All proposed markets","Search PL Blanki Aluminiowe","Campaign negative","EXACT","png","File-format intent"
"ALL","All proposed markets","Search PL Blanki Aluminiowe","Campaign negative","EXACT","psd","File-format intent"
"ALL","All proposed markets","Search PL Blanki Aluminiowe","Campaign negative","PHRASE","how to","Educational intent"
"ALL","All proposed markets","Search PL Blanki Aluminiowe","Campaign negative","EXACT","tutorial","Educational intent"
"ALL","All proposed markets","Search PL Blanki Aluminiowe","Campaign negative","EXACT","jobs","Employment intent"
"ALL","All proposed markets","Search PL Blanki Aluminiowe","Campaign negative","EXACT","careers","Employment intent"
"ALL","All proposed markets","Search PL Blanki Aluminiowe","Campaign negative","PHRASE","heat press machine","Equipment intent"
"ALL","All proposed markets","Search PL Blanki Aluminiowe","Campaign negative","PHRASE","card printer","Equipment intent"
"ALL","All proposed markets","Search PL Blanki Aluminiowe","Campaign negative","PHRASE","printing service","Finished-service intent"
"ALL","All proposed markets","Search PL Blanki Aluminiowe","Campaign negative","EXACT","used","Second-hand intent"
"PL","Poland","Search PL Blanki Aluminiowe","Campaign negative","PHRASE","darmowe pobieranie","Digital asset intent"
"PL","Poland","Search PL Blanki Aluminiowe","Campaign negative","EXACT","szablon","Design-file intent"
"PL","Poland","Search PL Blanki Aluminiowe","Campaign negative","EXACT","makieta","Design-file intent"
"PL","Poland","Search PL Blanki Aluminiowe","Campaign negative","PHRASE","jak zrobić","Educational intent"
"PL","Poland","Search PL Blanki Aluminiowe","Campaign negative","EXACT","poradnik","Educational intent"
"PL","Poland","Search PL Blanki Aluminiowe","Campaign negative","EXACT","praca","Employment intent"
"PL","Poland","Search PL Blanki Aluminiowe","Campaign negative","PHRASE","prasa termiczna","Equipment intent"
"PL","Poland","Search PL Blanki Aluminiowe","Campaign negative","PHRASE","drukarka do kart","Equipment intent"
"PL","Poland","Search PL Blanki Aluminiowe","Campaign negative","PHRASE","usługi drukarskie","Finished-service intent"
"PL","Poland","Search PL Blanki Aluminiowe","Campaign negative","PHRASE","złom aluminiowy","Scrap-material intent"
"PL","Poland","Search PL Blanki Aluminiowe","Campaign negative","PHRASE","karty plastikowe","Wrong material"
